iteration,series,model,train_size,n_train,r2,rmse,pearson,spearman,fit_seconds
iteration_1,33,mlp,500,500,0.0787814997024333,17.29422369376246,0.2993705274662939,0.3315455190839281,0.646
iteration_1,33,cnn,500,500,0.3065111229883664,15.005120811655422,0.6072665152397867,0.6011828440643737,1.176
iteration_1,33,rf,1000,1000,0.4522283476068617,13.33581380646894,0.6733300660922305,0.6440178873560465,0.25
iteration_1,33,mlp,1000,1000,0.2190933243660077,15.922795385889588,0.5109775732046425,0.5236339397486547,1.864
iteration_1,33,cnn,1000,1000,0.45880707765536,13.255490436679128,0.6931781877571216,0.6698365731482837,2.49
iteration_1,33,rf,2000,2000,0.5708085250050032,11.804437309201282,0.7556741742545671,0.7581712522647995,0.494
iteration_1,33,mlp,2000,2000,0.4268149287839049,13.641658765866172,0.686679790353917,0.6905699436938769,4.774
iteration_1,33,cnn,2000,2000,0.597160258894819,11.436309514087148,0.779350964130805,0.7737987756082669,5.194
iteration_1,35,rf,250,250,0.5011579487815603,20.18378398454919,0.7079741584665493,0.7038347366092903,0.104
iteration_1,35,mlp,250,250,0.356158056247798,22.9303505588765,0.6200327763983051,0.6300121322588823,0.916
iteration_1,35,cnn,250,250,0.5478976002511371,19.214959237122056,0.7446614962844033,0.7480600084615122,0.688
iteration_1,35,rf,500,500,0.5568277128663559,19.02424186763478,0.7462843986772847,0.7364170966106124,0.145
iteration_1,35,mlp,500,500,0.3768152617262377,22.55949978972092,0.640655955958868,0.6464298056959096,1.185
iteration_1,35,cnn,500,500,0.612379432348054,17.791987630201582,0.7907806010547641,0.7910654716219062,1.304
iteration_1,35,rf,1000,1000,0.653059612410472,16.832494879079402,0.8104483688124837,0.8038751700405791,0.234
iteration_1,35,mlp,1000,1000,0.4560079181415053,21.077415190982784,0.7084787236122774,0.7082210917191867,2.75
iteration_1,35,cnn,1000,1000,0.7263529708910541,14.949147607005118,0.8531970727413114,0.8519392627591051,2.559
iteration_1,35,rf,2000,2000,0.7654195548521231,13.840983929361936,0.8766231531934903,0.8738977151374832,0.448
iteration_1,35,mlp,2000,2000,0.6509774344185995,16.88292979951861,0.8161122404859215,0.8202845384851133,8.827
iteration_1,35,cnn,2000,2000,0.7829419381973455,13.314014380622751,0.8874577266568557,0.8884064241519022,5.384
iteration_1,37,rf,250,250,0.3450775545404962,18.73584918228663,0.595803615755045,0.5870297288695352,0.108
iteration_1,37,mlp,250,250,0.1726067087091709,21.058839858222164,0.4401550370194406,0.4584297125105179,0.715
iteration_1,37,cnn,250,250,0.4231861424247752,17.583134052738362,0.676542312031775,0.6657381439642108,0.665
iteration_1,37,rf,500,500,0.4947532044289762,16.45622544013925,0.7074722281096881,0.6992597706060691,0.148
iteration_1,37,mlp,500,500,0.338360982291381,18.831677084456647,0.5836833136128681,0.5907553735727366,1.034
iteration_1,37,cnn,500,500,0.532216780924249,15.834369076304291,0.7399217656959467,0.7325504760716978,1.086
iteration_1,37,rf,1000,1000,0.606545811306777,14.521969857635131,0.7817703505502962,0.7769883516499027,0.238
iteration_1,37,mlp,1000,1000,0.4711851911439507,16.835663962091363,0.710261095934431,0.7136878812886047,3.458
iteration_1,37,cnn,1000,1000,0.6464176225533576,13.766506692335843,0.8160229583845796,0.8111213782391057,2.713
iteration_1,37,rf,2000,2000,0.7114125778957361,12.437043226426796,0.844214969547538,0.8345508923358004,0.438
iteration_1,37,mlp,2000,2000,0.6216634531679186,14.240249292812656,0.7963579548529112,0.7888923892506678,10.013
iteration_1,37,cnn,2000,2000,0.7428514183938582,11.740065258374146,0.8620613347800239,0.8559122055275661,5.427
iteration_1,44,rf,250,250,0.4839361100972816,17.144581274647194,0.6956595794346141,0.6931793774029097,0.104
iteration_1,44,mlp,250,250,0.3261296946224008,19.59130232592992,0.6081134551476644,0.6013900841956349,0.984
iteration_1,44,cnn,250,250,0.544562667184009,16.106065488654174,0.7458770034696174,0.7380870748828151,0.554
iteration_1,44,rf,500,500,0.5709669921020181,15.632214296215228,0.7574155490418917,0.7490109803877358,0.128
iteration_1,44,mlp,500,500,0.4628610227972353,17.491154697647445,0.6874443321126671,0.6839180140376172,1.604
iteration_1,44,cnn,500,500,0.5677572657247407,15.690580010731855,0.758828969349296,0.756767351117542,1.143
iteration_1,44,rf,1000,1000,0.6275220423760111,14.5655012752789,0.7926817917260329,0.788845554308403,0.23
iteration_1,44,mlp,1000,1000,0.5195139708140721,16.543047972721187,0.7252145833940066,0.7237001856550234,1.907
iteration_1,44,cnn,1000,1000,0.6766043301425961,13.571949881184118,0.8293378864939225,0.8281774309055661,2.388
iteration_1,44,rf,2000,2000,0.7230484793541683,12.559635160291576,0.8514755417967987,0.8525500155659802,0.44
iteration_1,44,mlp,2000,2000,0.6590979511289881,13.934453884325109,0.8198682876709349,0.8213041981210082,9.181
iteration_1,44,cnn,2000,2000,0.7703935477049366,11.435816842781753,0.8836191015112111,0.8900957463621625,5.255
iteration_1,46,rf,250,250,0.6299362698165052,10.682475849574647,0.793800520857864,0.8221520177838223,0.106
iteration_1,46,mlp,250,250,0.6208809723604403,10.81238370886792,0.7882103903749585,0.8017631109763828,0.786
iteration_1,46,cnn,250,250,0.646075200941192,10.446941329016182,0.8074115196279101,0.8410472292369817,0.642
